id,start_from_week_seconds,duration
423698,604711,3460
423697,604665,34620
423696,604638,34632
423695,604610,34660
423694,604396,34846
423693,604380,34862
423692,604349,34877
423691,604063,35163
423690,604043,35145
423689,603994,35194
423688,603816,35346
423687,603748,35414
423686,603699,35450
423685,603643,35492
423684,603585,35564
423683,603567,35568
423682,603499,35587
423681,603452,35634
423680,603292,35776
423679,603263,35653
423678,603212,35833
423677,603205,35863
423676,603148,35897
423675,603038,35984
423674,603004,36018
423673,602876,36054
423672,602859,36071
423671,602816,36100
423670,602772,35943
423669,602750,36132
423668,602710,36043
423667,602699,36183
423666,602558,36267
423665,602507,36318
423664,602491,36262
423663,602478,36237
423662,602098,36583
423661,602040,36641
423660,601967,36665
423659,601963,36567
423658,601934,36698
423657,601877,36725
423656,601800,36802
423655,601516,37062
423654,601468,36968
423653,601210,37293
423652,601182,37348
423651,601164,37339
423650,601130,37343
423649,601084,37389
423648,601053,37383
423647,600891,36614
423646,600872,37490
423645,600830,37589
423644,600733,37686
423643,600689,37673
423642,600294,38039
423641,600193,38110
423638,600131,38149
423637,600119,38184
423636,600107,38173
423635,600089,38124
423634,600032,38219
423633,599935,38278
423632,599500,38132
423631,599464,38192
423630,599440,37927
423629,599378,38306
423628,599271,38413
423627,599265,38391
423626,599238,38394
423625,599155,38425
423624,599130,38450
423623,599113,38425
423622,599078,38460
423621,598958,38547
423620,598910,38562
423619,598873,38599
423618,598665,38796
423617,598653,38785
423616,598469,38862
423615,598455,38965
423614,598415,39005
423613,598367,39025
423612,598302,39090
423611,598290,39077
423610,598281,39050
423609,598255,39061
423608,598239,39077
423607,598209,39087
423606,598196,39044
423605,598182,39085
423604,598172,39124
423603,598093,39174
423602,598082,39158
423601,597988,39156
423600,597967,39247
423599,597912,39302
423598,597834,39353
423597,597765,39379
423596,597695,39488
423595,597621,39562
423594,597514,39485
423593,597503,39496
423591,597167,39758
423590,597093,39778
423589,597069,39820
423588,597049,39839
423587,596981,39890
423586,596895,39965
423585,596771,40069
423584,596750,39963
423583,596740,40082
423582,596724,40049
423581,596718,40122
423580,596701,40121
423579,596676,40097
423578,596663,40050
423577,596636,40064
423576,596623,40013
423575,596516,40184
423574,596501,40135
423572,596360,40264
423570,596334,40290
423569,596260,40315
423568,596141,40400
423567,596137,40438
423566,596095,40446
423565,595922,40598
423564,595736,40741
423563,595679,40798
423562,595601,40847
423561,595320,41115
423560,595217,70820
423559,595140,71171
423558,595088,41347
423557,595080,71231
423556,594871,71416
423555,594826,71461
423554,594621,57047
423553,594355,71909
423552,594303,71842
423551,594274,71871
423550,594236,71902
423549,594198,72066
423548,594175,71956
423547,594173,71965
423544,594010,72121
423543,593869,72320
423542,593840,72349
423541,593804,72302
423540,593772,72334
423539,593498,72581
423538,593428,45150
423537,593391,72700
423536,593378,72713
423535,593374,72705
423534,593339,72724
423533,593333,72734
423532,593298,72765
423531,593228,72556
423530,593129,72915
423529,593105,72932
423528,593063,72981
423527,592986,72805
423526,592954,72872
423525,592951,72840
423524,592923,72903
423523,592850,72866
423522,592820,72964
423521,592806,72941
423520,592771,72945
423519,592761,72986
423518,592731,72975
423517,592715,72962
423516,592704,72896
423515,592692,72985
423512,592594,73006
423511,592555,73096
423510,592513,73138
423509,592436,73118
423508,592331,73248
423507,592273,73306
423506,592236,73318
423505,592209,73310
423504,592159,73333
423503,592135,73384
423502,592125,73341
423501,592113,73358
423500,592095,73397
423499,591848,73618
423498,591712,73730
423497,591519,73297
423496,591518,73933
423495,591479,73972
423494,591477,73965
423493,591466,73959
423492,591371,74054
423491,591209,74200
423490,591081,74323
423489,591050,74304
423488,591001,74397
423487,590982,74396
423486,590976,74422
423485,590965,74413
423484,590951,74403
423483,590869,74664
423482,590829,74704
423481,590808,74513
423480,590732,74589
423479,590721,74609
423478,590713,74544
423477,590710,74524
423476,590703,74627
423475,590651,74583
423474,590640,74617
423473,590584,74634
423472,590548,74670
423471,590492,74708
423470,590458,74742
423469,590421,74646
423468,590417,74663
423467,590377,74690
423466,590338,17
423465,590290,54
423464,590287,51
423463,590248,90
423462,590197,126
423461,590190,128
423460,590168,140
423459,590127,55266
423458,590118,184
423457,590100,202
423456,590051,244
423455,589830,458
423454,589785,489
423453,589776,512
423452,589713,75463
423451,589612,662
423450,589507,738
423449,589479,766
423448,589412,819
423447,589387,844
423446,589281,760
423444,589089,1162
423442,588915,1304
423441,588896,1323
423440,588891,1315
423439,588841,75975
423438,588835,1343
423437,588783,1395
423436,588630,1375
423435,588564,1605
423434,588495,1630
423433,588463,1706
423432,588419,1706
423431,588331,1864
423430,588255,1853
423429,588155,76561
423428,588104,2059
423427,588080,2028
423426,588077,2076
423425,588004,2093
423424,587973,76753
423423,587970,2127
423422,587845,2270
423421,587827,76398
423420,587769,2296
423419,587747,2321
423418,587710,2351
423417,587664,76534
423416,587617,72621
423415,587578,2478
423414,587554,2502
423413,587331,2703
423412,587323,2659
423411,587275,2717
423410,587269,2765
423409,587191,2830
423408,587187,76980
423407,587081,98
423406,587077,93
423405,587064,115
423404,586980,125
423403,586909,254
423402,586774,389
423401,586769,420
423400,586675,477
423399,586631,521
423398,586624,504
423397,586597,3414
423396,586575,3436
423395,586544,587
423394,586499,3542
423393,586474,644
423392,586438,680
423391,586360,751
423390,586326,785
423389,586309,770
423388,586263,842
423387,586249,830
423386,586097,944
423385,586080,991
423384,586060,936
423383,586032,1034
423382,586011,3994
423381,585962,1086
423380,585955,4042
423379,585930,1115
423378,585902,1154
423377,585880,1161
423376,585818,1178
423375,585796,1228
423374,585789,1215
423373,585786,4206
423372,585719,4263
423371,585647,108
423370,585613,131
423369,585609,146
423368,585589,151
423367,585538,202
423366,585441,285
423365,585416,4570
423364,585369,354
423363,585201,518
423362,585172,537
423361,585125,584
423360,585111,608
423359,585076,604
423358,585066,602
423357,585031,637
423356,584927,753
423355,584884,759
423354,584847,811
423353,584797,846
423352,584747,911
423351,584712,908
423350,584675,945
423349,584660,953
423348,584632,966
423347,584604,1006
423346,584596,761
423345,584581,1002
423344,584576,789
423343,584561,796
423342,584556,793
423341,584551,2449
423340,584487,874
423339,584463,18
423338,584451,22
423337,584410,63
423336,584383,2598
423335,584284,2693
423334,584253,2724
423333,584139,327
423332,584115,2898
423331,584073,383
423330,584024,454
423329,583999,457
423328,583990,2982
423327,583665,781
423326,583620,826
423325,583586,837
423324,583496,927
423323,583411,987
423322,583363,1035
423321,583332,1102
423320,582981,1410
423319,582944,1467
423317,582875,1536
423316,582851,1540
423315,582824,1528
423314,582817,1514
423312,582720,1629
423311,582702,1647
423310,582656,1675
423309,582598,1706
423308,582573,1679
423307,582489,3159
423306,582447,1968
423305,582438,3210
423304,582431,1797
423303,582373,1894
423302,582316,1975
423301,582258,1818
423300,582183,2108
423299,582175,2067
423298,582173,2094
423297,582121,2121
423296,582055,2173
423295,581986,2216
423294,581866,2386
423293,581852,2363
423292,581761,2454
423291,581716,2490
423290,581701,2501
423289,581692,3657
423288,581528,2662
423287,581522,2665
423286,581513,2674
423285,581477,2666
423284,581420,2734
423283,581418,2864
423282,581415,2739
423281,581410,2733
423280,581288,2834
423279,581283,2816
423278,581267,2895
423277,581240,2878
423276,581208,29
423275,581134,99
423274,581082,3036
423273,581075,153
423272,581073,148
423271,581036,3126
423270,581030,198
423269,581020,3107
423268,580985,260
423267,580912,304
423266,580743,473
423265,580611,594
423264,580580,613
423263,580531,674
423262,580502,688
423261,580478,712
423260,579967,1195
423259,579931,1247
423258,579913,1228
423257,579907,1234
423256,579905,1273
423255,579851,1282
423254,579839,4264
423253,579820,1304
423252,579789,4322
423251,579783,4298
423250,579708,1392
423249,579700,1428
423248,579635,1410
423247,579606,1455
423246,579601,4475
423245,579592,1513
423244,579590,1520
423243,579524,1537
423242,579523,4544
423241,579503,1542
423240,579501,1599
423239,579478,4621
423238,579352,1672
423237,579323,1701
423236,579158,1853
423235,579088,1923
423234,579077,1857
423233,579075,1914
423232,579046,1943
423231,579034,1928
423230,578983,1909
423229,578969,1993
423228,578937,1965
423227,578909,2039
423226,578903,2069
423225,578890,1977
423224,578889,2036
423223,578887,2029
423222,578887,1953
423221,578865,2044
423220,578864,2052
423219,578854,2000
423218,578838,2064
423217,578834,2085
423216,578822,2032
423215,578807,2060
423214,578804,2088
423213,578795,2045
423212,578750,15
423211,578743,53
423210,578727,34
423209,578703,5389
423208,578698,23
423207,578684,41
423206,578675,46
423205,578675,38
423204,578608,101
423203,578597,93
423201,578513,167
423200,578502,163
423199,578481,133
423198,578476,208
423196,578467,208
423195,578463,202
423194,578456,253
423193,578405,270
423192,578388,252
423191,578380,234
423190,578338,297
423189,578290,185
423188,578284,5758
423187,578240,378
423186,578193,5840
423185,578179,408
423184,578155,413
423183,578152,160
423182,578142,399
423181,578114,454
423180,578104,472
423179,578100,441
423178,578087,427
423177,578080,442
423176,578068,480
423175,578057,457
423174,578040,292
423173,578037,438
423172,578034,332
423171,578008,442
423170,577992,151
423169,577964,486
423168,577961,470
423167,577942,406
423166,577941,490
423165,577938,428
423164,577932,509
423163,577909,532
423162,577898,306
423161,577890,113
423160,577884,448
423159,577872,476
423158,577868,444
423157,577836,467
423156,577773,530
423155,577757,460
423154,577750,471
423153,577743,193
423152,577739,471
423151,577715,542
423150,577709,610
423149,577707,503
423148,577699,3235
423147,577688,3145
423146,577631,512
423145,577601,603
423144,577596,621
423143,577478,638
423142,577436,680
423141,577393,3426
423140,577388,3431
423139,577367,723
423138,577350,3479
423137,577283,783
423136,577275,710
423135,577223,899
423134,577201,859
423133,577156,917
423132,577114,852
423131,577093,966
423130,577091,946
423129,577068,898
423128,577019,675
423127,576943,3836
423126,576884,1101
423125,576860,1024
423124,576842,1024
423123,576835,1049
423122,576818,3944
